"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01000","総数","","126,146","61,350","64,797"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01001","0～4歳","","4,541","2,325","2,217"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01002","5～9歳","","5,114","2,620","2,494"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01003","10～14歳","","5,376","2,756","2,620"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01004","15～19歳","","5,706","2,928","2,779"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01005","20～24歳","","6,320","3,234","3,086"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01006","25～29歳","","6,384","3,279","3,105"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01007","30～34歳","","6,714","3,431","3,283"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01008","35～39歳","","7,498","3,806","3,692"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01009","40～44歳","","8,476","4,299","4,178"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01010","45～49歳","","9,868","4,994","4,875"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01011","50～54歳","","8,738","4,394","4,344"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01012","55～59歳","","7,940","3,967","3,973"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01013","60～64歳","","7,442","3,677","3,766"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01014","65～69歳","","8,236","3,999","4,237"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01015","70～74歳","","9,189","4,337","4,852"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01016","75～79歳","","7,065","3,146","3,918"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01017","80～84歳","","5,404","2,232","3,172"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01018","85～89歳","","3,742","1,324","2,418"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01019","90～94歳","","1,811","499","1,312"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01020","95～99歳","","500","93","407"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01021","100歳以上","","80","10","71"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","02000","（再掲）15歳未満","","15,032","7,700","7,332"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01023","（再掲）15～64歳","","75,088","38,009","37,079"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01024","（再掲）65歳以上","","36,027","15,641","20,386"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01026","（再掲）うち75歳以上","","18,602","7,305","11,297"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","001","総人口","01027","（再掲）うち85歳以上","","6,133","1,927","4,207"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01000","総数","","123,399","60,003","63,396"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01001","0～4歳","","4,458","2,282","2,177"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01002","5～9歳","","5,037","2,580","2,457"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01003","10～14歳","","5,315","2,724","2,591"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01004","15～19歳","","5,619","2,883","2,736"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01005","20～24歳","","5,916","3,016","2,900"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01006","25～29歳","","5,951","3,038","2,914"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01007","30～34歳","","6,363","3,245","3,119"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01008","35～39歳","","7,229","3,676","3,552"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01009","40～44歳","","8,260","4,203","4,057"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01010","45～49歳","","9,679","4,915","4,764"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01011","50～54歳","","8,569","4,328","4,241"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01012","55～59歳","","7,809","3,913","3,896"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01013","60～64歳","","7,353","3,639","3,714"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01014","65～69歳","","8,170","3,970","4,200"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01015","70～74歳","","9,140","4,314","4,826"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01016","75～79歳","","7,031","3,132","3,899"
